# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 16:49:47 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_letter like '%b%'
# CONSTRAINT:  and pl_pnum = 1
# CONSTRAINT:  and st_diststr < 50)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_orblper,pl_facility
HD 39855,b,HD 39855 b,Radial Velocity,0,1,3.24980000,0.041000,0.140000,,0.02674,Msini,,,0,0,0,0,05h54m30.16s,88.625648,-19d42m15.6s,-19.704346,23.28,23.28,7.470,V (Johnson),,5576.00,0.87,,2019-05-23,102.9700,Las Campanas Observatory
HIP 12961,b,HIP 12961 b,Radial Velocity,0,1,57.43500000,0.250000,0.170000,,0.36000,Msini,,,0,0,0,0,02h46m42.89s,41.678692,-23d05m11.8s,-23.086611,23.39,23.39,10.240,V (Johnson),9.599,3901.00,0.69,0.65,2018-09-06,,La Silla Observatory
HIP 70849,b,HIP 70849 b,Radial Velocity,0,1,17337.50000000,20.250000,0.715000,,9.00000,Msini,,,0,0,0,0,14h29m18.56s,217.327347,-46d27m49.7s,-46.463818,24.07,24.07,10.360,V (Johnson),9.698,4105.00,0.63,,2014-05-14,,La Silla Observatory
HD 156668,b,HD 156668 b,Radial Velocity,0,1,4.64550000,0.050000,0.000000,,0.01300,Msini,,,0,0,0,1,17h17m40.49s,259.418701,+29d13m38.0s,29.227226,24.35,24.35,8.420,V (Johnson),8.108,4850.00,0.77,0.72,2019-01-31,,W. M. Keck Observatory
HD 42618,b,HD 42618 b,Radial Velocity,0,1,149.61000000,0.554000,0.190000,,0.04531,Msini,,,0,0,0,0,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,24.35,24.35,6.839,V (Johnson),6.683,5727.00,1.01,1.00,2016-10-27,101.0000,Multiple Observatories
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,33.12,,,17.396,2300.00,0.08,0.12,2014-05-14,223.0000,W. M. Keck Observatory
HD 16417,b,HD 16417 b,Radial Velocity,0,1,17.24000000,0.140000,0.200000,,0.06960,Msini,,,0,0,0,1,02h36m58.61s,39.244198,-34d34m40.7s,-34.577976,25.41,25.41,5.780,V (Johnson),5.594,,1.20,,2019-01-31,77.0000,Anglo-Australian Telescope
HD 128356,b,HD 128356 b,Radial Velocity,0,1,298.20000000,0.870000,0.570000,,0.89000,Msini,,,0,0,0,0,14h37m04.89s,219.270355,-25d48m09.2s,-25.802563,26.03,,8.290,V (Johnson),,4875.00,0.65,0.85,2016-11-10,84.2200,Multiple Observatories
HD 30562,b,HD 30562 b,Radial Velocity,0,1,1157.00000000,2.340000,0.760000,,1.22000,Msini,,,0,0,0,0,04h48m36.38s,72.151604,-05d40m26.6s,-5.674045,26.18,26.18,5.780,V (Johnson),5.600,5882.00,1.12,1.61,2018-09-06,,Lick Observatory
HD 103949,b,HD 103949 b,Radial Velocity,0,1,120.87800000,0.439000,0.190000,,0.03524,Msini,,,0,0,0,0,11h58m11.70s,179.548767,-23d55m26.0s,-23.923887,26.52,26.52,8.690,V (Johnson),,4792.00,0.77,,2019-05-23,127.7400,Las Campanas Observatory
HD 216437,b,HD 216437 b,Radial Velocity,0,1,1256.00000000,2.320000,0.290000,,1.82000,Msini,,,0,0,0,0,22h54m39.48s,343.664520,-70d04m25.3s,-70.073708,26.71,26.71,6.050,V (Johnson),5.883,5887.00,1.06,,2015-04-24,63.0000,Anglo-Australian Telescope
BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,1,1667.00000000,2.280000,0.050000,,0.53000,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,27.19,9.990,V (Johnson),9.485,4475.00,0.57,0.52,2015-01-08,231.0000,La Silla Observatory
HD 179949,b,HD 179949 b,Radial Velocity,0,1,3.09251400,0.044300,0.022000,,0.91600,Msini,,,0,0,0,1,19h15m33.23s,288.888458,-24d10m45.7s,-24.179352,27.48,27.48,6.250,V (Johnson),6.104,6168.00,1.21,,2014-07-09,192.0000,Anglo-Australian Telescope
K2-129,b,K2-129 b,Transit,0,1,8.23949300,0.057000,0.130000,89.210,,,0.093,,0,0,1,0,19h16m35.60s,289.148315,-25d38m41.9s,-25.644964,27.82,27.82,13.630,V (Johnson),12.462,3459.09,0.36,0.36,2017-10-05,39.8900,K2
HD 114386,b,HD 114386 b,Radial Velocity,0,1,937.70001000,1.730000,0.230000,,1.14000,Msini,,,0,0,0,0,13h10m39.82s,197.665924,-35d03m17.2s,-35.054783,27.95,27.95,8.730,V (Johnson),8.418,4836.00,0.60,0.76,2018-09-06,,La Silla Observatory
HD 125595,b,HD 125595 b,Radial Velocity,0,1,9.67370000,0.080000,0.000000,,0.02000,Msini,,,0,0,0,0,14h21m23.18s,215.346603,-40d23m38.2s,-40.393948,28.22,28.22,9.030,V (Johnson),8.655,4691.00,0.29,0.74,2018-09-06,,La Silla Observatory
HD 164595,b,HD 164595 b,Radial Velocity,0,1,40.00000000,0.230000,0.088000,,0.05078,Msini,,,0,0,0,0,18h00m38.89s,270.162048,+29d34m18.9s,29.571922,28.28,28.28,7.100,V (Johnson),6.895,5790.00,0.99,,2015-09-10,145.0000,Haute-Provence Observatory
HD 150706,b,HD 150706 b,Radial Velocity,0,1,5894.00000000,6.700000,0.380000,,2.71000,Msini,,,0,0,0,0,16h31m17.59s,247.823273,+79d47m23.2s,79.789772,28.29,28.29,7.020,V (Johnson),6.850,5961.00,1.17,0.96,2014-07-23,132.0000,Haute-Provence Observatory
HD 93083,b,HD 93083 b,Radial Velocity,0,1,143.58000000,0.477000,0.140000,,0.37000,Msini,,,0,0,0,0,10h44m20.91s,161.087143,-33d34m37.3s,-33.577023,28.54,28.54,8.300,V (Johnson),8.042,4995.00,0.70,,2014-05-14,333.5000,La Silla Observatory
HD 204941,b,HD 204941 b,Radial Velocity,0,1,1733.00000000,2.550000,0.370000,,0.23000,Msini,,,0,0,0,0,21h32m23.51s,323.097961,-20d57m26.7s,-20.957422,28.74,28.74,8.450,V (Johnson),8.191,5026.00,0.58,0.78,2018-09-06,,La Silla Observatory
HD 218566,b,HD 218566 b,Radial Velocity,0,1,225.70000000,0.690000,0.300000,,0.20000,Msini,,,0,0,0,0,23h09m10.73s,347.294708,-02d15m38.7s,-2.260742,28.85,28.85,8.628,V (Johnson),8.274,4730.00,0.76,0.85,2018-09-06,,W. M. Keck Observatory
HD 111232,b,HD 111232 b,Radial Velocity,0,1,1143.00000000,1.970000,0.200000,,7.14000,Msini,,,0,0,0,0,12h48m51.75s,192.215637,-68d25m30.5s,-68.425148,28.98,28.98,7.590,V (Johnson),7.405,5512.00,0.84,0.90,2018-09-06,,La Silla Observatory
HD 75289,b,HD 75289 b,Radial Velocity,0,1,3.50927000,0.050000,0.030000,,0.49000,Msini,,,0,0,0,0,08h47m40.39s,131.918289,-41d44m12.5s,-41.736794,29.14,29.14,6.350,V (Johnson),6.205,6117.00,1.29,1.23,2018-09-06,,La Silla Observatory
HD 21411,b,HD 21411 b,Radial Velocity,0,1,84.28800000,0.362000,0.400000,,0.20734,Msini,,,0,0,0,0,03h26m11.12s,51.546322,-30d37m04.1s,-30.617809,29.16,29.16,7.885,V (Johnson),,5605.00,0.89,,2019-05-23,332.4200,Las Campanas Observatory
HD 219077,b,HD 219077 b,Radial Velocity,0,1,5501.00000000,6.220000,0.770000,,10.39000,Msini,,,0,0,0,0,23h14m06.58s,348.527435,-62d42m00.0s,-62.700005,29.21,29.21,6.120,V (Johnson),5.905,5362.00,1.05,1.91,2014-05-14,57.6100,La Silla Observatory
HD 70642,b,HD 70642 b,Radial Velocity,0,1,2068.00000000,3.180000,0.030000,,1.85000,Msini,,,0,0,0,0,08h21m28.14s,125.367233,-39d42m19.5s,-39.705410,29.30,29.30,7.180,V (Johnson),6.992,5665.00,0.96,1.02,2018-09-06,,Anglo-Australian Telescope
HD 102195,b,HD 102195 b,Radial Velocity,0,1,4.11377000,0.050000,0.000000,,0.41000,Msini,,,0,0,0,0,11h45m42.29s,176.426224,+02d49m17.3s,2.821483,29.36,29.36,8.062,V (Johnson),7.847,5301.00,0.76,0.82,2018-09-06,,Kitt Peak National Observatory
51 Eri,b,51 Eri b,Imaging,0,1,,13.200000,,,2.00000,Mass,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,29.78,5.230,V (Johnson),5.122,,1.75,,2015-08-14,,Gemini Observatory
GJ 3470,b,GJ 3470 b,Radial Velocity,0,1,3.33664960,0.035500,,89.130,0.04373,Mass,0.408,0.80000,0,0,0,1,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,29.45,29.45,12.330,V (Johnson),11.354,3600.00,0.54,0.55,2016-09-29,,La Silla Observatory
HD 46375,b,HD 46375 b,Radial Velocity,0,1,3.02357300,0.039800,0.063000,,0.22600,Msini,,,0,0,0,0,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,29.58,29.58,7.912,V (Johnson),7.695,5285.00,0.92,,2014-07-23,114.0000,W. M. Keck Observatory
HD 52265,b,HD 52265 b,Radial Velocity,0,1,119.27000000,0.520000,0.270000,,1.21000,Msini,,,0,0,0,1,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,30.01,30.01,6.300,V (Johnson),6.147,6136.00,1.20,,2019-03-14,242.0000,W. M. Keck Observatory
HD 101930,b,HD 101930 b,Radial Velocity,0,1,70.46000000,0.300000,0.110000,,0.25000,Msini,,,0,0,0,0,11h43m30.11s,175.875458,-58d00m24.8s,-58.006886,30.05,30.05,8.210,V (Johnson),7.967,5108.00,0.57,0.86,2018-09-06,,La Silla Observatory
kap CrB,b,kap CrB b,Radial Velocity,0,1,1285.00000000,2.650000,0.167000,,1.81100,Msini,,,0,0,0,1,15h51m13.93s,237.808044,+35d39m26.6s,35.657383,30.09,30.09,4.790,V (Johnson),4.460,4871.00,1.50,4.85,2018-12-06,194.0000,Lick Observatory
HD 8326,b,HD 8326 b,Radial Velocity,0,1,158.99100000,0.533000,0.200000,,0.20955,Msini,,,0,0,0,0,01h22m07.61s,20.531721,-26d53m35.2s,-26.893103,30.71,30.71,8.760,V (Johnson),,4914.00,0.80,,2019-05-23,-44.7900,Las Campanas Observatory
HD 162020,b,HD 162020 b,Radial Velocity,0,1,8.42820000,0.080000,0.280000,,9.84000,Msini,,,0,0,0,0,17h50m38.36s,267.659821,-40d19m06.1s,-40.318348,30.85,30.85,9.100,V (Johnson),8.759,4723.00,0.42,0.75,2018-09-06,,La Silla Observatory
HD 29021,b,HD 29021 b,Radial Velocity,0,1,1362.30000000,2.280000,0.459000,,2.40000,Msini,,,0,0,0,0,04h37m52.22s,69.467590,+60d40m34.3s,60.676197,31.02,31.02,7.760,V (Johnson),7.586,5560.00,0.85,0.85,2017-03-02,179.5000,Haute-Provence Observatory
HD 221420,b,HD 221420 b,Radial Velocity,0,1,22482.00000000,18.500000,0.420000,,9.70000,Msini,,,0,0,0,0,23h33m19.58s,353.331604,-77d23m07.2s,-77.385330,31.17,31.17,5.810,V (Johnson),5.641,5830.00,1.67,,2019-05-09,164.4000,Anglo-Australian Telescope
HD 50554,b,HD 50554 b,Radial Velocity,0,1,1293.00000000,2.353000,0.501000,,4.95400,Msini,,,0,0,0,0,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.19,31.19,6.840,V (Johnson),6.698,5987.00,1.04,1.02,2014-11-19,,Lick Observatory
HD 64114,b,HD 64114 b,Radial Velocity,0,1,45.79100000,0.246000,0.120000,,0.05600,Msini,,,0,0,0,0,07h51m55.89s,117.982864,-11d01m58.7s,-11.032976,31.55,31.55,7.718,V (Johnson),,5676.00,0.95,,2019-05-23,215.3000,Las Campanas Observatory
iot Dra,b,iot Dra b,Radial Velocity,0,1,511.09800000,1.275000,0.712400,,8.82000,Msini,,,0,0,0,0,15h24m55.77s,231.232391,+58d57m57.8s,58.966064,31.67,31.67,3.290,V (Johnson),2.847,4530.00,1.05,,2014-07-23,91.5800,Lick Observatory
HD 130322,b,HD 130322 b,Radial Velocity,0,1,10.70871000,0.092500,0.029000,,1.15000,Msini,,,0,0,0,0,14h47m32.73s,221.886368,-00d16m53.3s,-0.281476,31.91,31.91,8.031,V (Johnson),7.834,5387.00,0.92,0.85,2015-02-19,193.0000,La Silla Observatory
HD 89307,b,HD 89307 b,Radial Velocity,0,1,2166.00000000,3.270000,0.200000,,2.11000,Msini,,,0,0,0,0,10h18m21.29s,154.588699,+12d37m16.0s,12.621108,32.04,32.04,7.009,V (Johnson),6.868,5955.00,1.27,1.10,2018-09-06,,Lick Observatory
HIP 71135,b,HIP 71135 b,Radial Velocity,0,1,87.19000000,0.335000,0.210000,,0.05915,Msini,,,0,0,0,0,14h32m52.22s,218.217590,-52d38m46.6s,-52.646271,32.36,32.36,10.542,V (Johnson),,4146.00,0.66,,2019-05-23,115.6000,Las Campanas Observatory
HD 117207,b,HD 117207 b,Radial Velocity,0,1,2597.00000000,3.740000,0.140000,,1.73000,Msini,,,0,0,0,0,13h29m21.11s,202.337967,-35d34m15.6s,-35.570995,32.38,32.38,7.260,V (Johnson),7.077,5662.00,0.96,1.11,2018-09-06,,W. M. Keck Observatory
HD 98736,b,HD 98736 b,Radial Velocity,0,1,968.80000000,1.864000,0.226000,,2.33000,Msini,,,0,0,0,0,11h21m49.34s,170.455597,+18d11m24.0s,18.190001,32.48,32.48,7.930,V (Johnson),7.754,5271.00,0.92,0.93,2018-09-27,162.0000,W. M. Keck Observatory
HD 63765,b,HD 63765 b,Radial Velocity,0,1,358.00000000,0.940000,0.240000,,0.53000,Msini,,,0,0,0,0,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.57,32.57,8.100,V (Johnson),7.910,5449.00,0.65,0.83,2018-09-06,,La Silla Observatory
HD 22781,b,HD 22781 b,Radial Velocity,0,1,528.07000000,1.167000,0.819100,,13.65000,Msini,,,0,0,0,0,03h40m49.53s,55.206356,+31d49m34.6s,31.826290,32.63,32.63,8.766,V (Johnson),8.524,5027.00,0.75,,2019-01-31,315.9200,Haute-Provence Observatory
mu Leo,b,mu Leo b,Radial Velocity,0,1,357.80000000,1.100000,0.090000,,2.40000,Msini,,,0,0,0,0,09h52m45.82s,148.190903,+26d00m25.0s,26.006952,32.63,32.63,3.880,V (Johnson),3.421,4538.20,1.50,11.40,2014-05-14,227.1000,Bohyunsan Optical Astronomical Observatory
HD 197037,b,HD 197037 b,Radial Velocity,0,1,1035.70000000,2.070000,0.220000,,0.79000,Msini,,,0,0,0,0,20h39m32.96s,309.887329,+42d14m54.8s,42.248550,33.00,33.23,6.809,V (Johnson),6.671,6150.00,1.11,,2019-01-31,298.0000,McDonald Observatory
HD 216435,b,HD 216435 b,Radial Velocity,0,1,1311.00000000,2.560000,0.070000,,1.26000,Msini,,,0,0,0,0,22h53m37.93s,343.408051,-48d35m53.8s,-48.598286,33.01,33.01,6.030,V (Johnson),5.872,5999.00,1.30,,2014-07-23,100.0000,Anglo-Australian Telescope
HD 10697,b,HD 10697 b,Radial Velocity,0,1,1075.69000000,2.140000,0.104300,,6.38300,Msini,,,0,0,0,0,01h44m55.82s,26.232603,+20d04m59.3s,20.083149,33.15,33.15,6.270,V (Johnson),6.096,5600.00,1.13,1.79,2018-12-06,114.9000,W. M. Keck Observatory
HIP 35173,b,HIP 35173 b,Radial Velocity,0,1,41.51600000,0.217000,0.160000,,0.03996,Msini,,,0,0,0,0,07h16m10.68s,109.044479,-03d39m57.3s,-3.665910,33.19,33.19,9.010,V (Johnson),,4881.00,0.79,,2019-05-23,10.7300,Las Campanas Observatory
HD 111998,b,HD 111998 b,Radial Velocity,0,1,825.90000000,1.820000,0.030000,,4.51000,Msini,,,0,0,0,0,12h53m11.16s,193.296494,-03d33m11.2s,-3.553098,33.26,33.26,6.110,V (Johnson),5.987,6557.00,1.18,1.45,2016-09-08,-87.3000,La Silla Observatory
HD 141937,b,HD 141937 b,Radial Velocity,0,1,653.21997000,1.500000,0.410000,,9.69000,Msini,,,0,0,0,0,15h52m17.55s,238.073120,-18d26m09.8s,-18.436066,33.39,33.39,7.250,V (Johnson),7.091,5870.00,1.09,1.03,2018-09-06,,La Silla Observatory
HD 23079,b,HD 23079 b,Radial Velocity,0,1,730.59998000,1.600000,0.100000,,2.61000,Msini,,,0,0,0,0,03h39m43.09s,54.929562,-52d54m57.0s,-52.915836,33.49,33.49,7.120,V (Johnson),6.962,5974.00,1.12,1.07,2018-09-06,,Anglo-Australian Telescope
HD 85390,b,HD 85390 b,Radial Velocity,0,1,799.52000000,1.373000,0.500000,,0.09900,Msini,,,0,0,0,0,09h50m02.50s,147.510406,-49d47m25.0s,-49.790268,33.56,33.56,8.526,V (Johnson),8.295,5186.00,0.76,,2019-03-14,250.0000,La Silla Observatory
HR 2562,b,HR 2562 b,Imaging,0,1,,20.300000,,,30.00000,Mass,1.110,,0,0,0,1,06h50m01.01s,102.504227,-60d14m56.9s,-60.249146,34.04,34.04,6.110,V (Johnson),5.989,,1.30,,2016-09-08,,Gemini Observatory
HD 106515 A,b,HD 106515 A b,Radial Velocity,0,1,3630.00000000,4.590000,0.572000,,9.61000,Msini,,,0,0,0,0,12h15m06.57s,183.777359,-07d15m26.4s,-7.257327,34.12,34.12,7.972,V (Johnson),7.778,5362.00,0.97,1.62,2014-05-14,123.8000,La Silla Observatory
HD 40979,b,HD 40979 b,Radial Velocity,0,1,264.14999000,0.850000,0.250000,,4.67000,Msini,,,0,0,0,0,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,34.12,34.12,6.735,V (Johnson),6.600,6165.00,1.45,1.21,2018-09-06,,Multiple Observatories
HD 196885,b,HD 196885 b,Radial Velocity,0,1,1333.00000000,2.370000,0.480000,,2.58000,Msini,,,0,0,0,0,20h39m51.88s,309.966156,+11d14m58.7s,11.249649,34.20,34.20,6.398,V (Johnson),6.257,6254.00,1.28,1.31,2014-08-21,78.0000,Haute-Provence Observatory
HD 4208,b,HD 4208 b,Radial Velocity,0,1,828.00000000,1.650000,0.050000,,0.82000,Msini,,,0,0,0,0,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,34.23,34.23,7.780,V (Johnson),7.611,5629.00,0.90,0.92,2018-09-06,,W. M. Keck Observatory
HD 142022 A,b,HD 142022 A b,Radial Velocity,0,1,1928.00000000,2.930000,0.530000,,4.44000,Msini,,,0,0,0,0,16h10m15.02s,242.562592,-84d13m53.8s,-84.231613,34.31,34.31,7.700,V (Johnson),7.514,5421.00,0.90,1.04,2018-09-06,,La Silla Observatory
HD 81040,b,HD 81040 b,Radial Velocity,0,1,1001.70001000,1.940000,0.530000,,7.27000,Msini,,,0,0,0,0,09h23m47.09s,140.946198,+20d21m52.0s,20.364454,34.47,34.47,7.720,V (Johnson),7.555,5755.00,1.05,0.91,2018-09-06,,Multiple Observatories
BD-17 63,b,BD-17 63 b,Radial Velocity,0,1,655.59998000,1.340000,0.540000,,2.85000,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,34.49,9.566,V (Johnson),9.201,4665.00,0.31,0.74,2018-09-06,,La Silla Observatory
HD 45652,b,HD 45652 b,Radial Velocity,0,1,44.07300000,0.237000,0.607000,,0.43300,Msini,,,0,0,0,0,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,34.89,34.89,8.100,V (Johnson),7.912,5294.00,0.92,0.94,2018-09-27,227.7000,Haute-Provence Observatory
HD 142415,b,HD 142415 b,Radial Velocity,0,1,386.29999000,1.060000,0.500000,,1.67000,Msini,,,0,0,0,0,15h57m40.79s,239.419968,-60d12m00.9s,-60.200256,35.57,35.57,7.327,V (Johnson),7.178,5940.00,1.07,1.04,2018-09-06,,La Silla Observatory
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,33.86,14.240,V (Johnson),12.903,3530.00,0.40,,2014-05-14,,W. M. Keck Observatory
HD 20782,b,HD 20782 b,Radial Velocity,0,1,597.06430000,1.364900,0.950000,,1.48780,Msini,,,0,0,0,0,03h20m03.58s,50.014908,-28d51m14.7s,-28.854071,36.02,36.02,7.400,V (Johnson),7.193,5790.00,1.07,1.11,2019-02-07,143.5800,Anglo-Australian Telescope
HD 7199,b,HD 7199 b,Radial Velocity,0,1,615.00000000,1.360000,0.190000,,0.27000,Msini,,,0,0,0,0,01h10m47.22s,17.696762,-66d11m17.4s,-66.188164,36.19,36.19,8.027,V (Johnson),7.837,5371.00,0.77,0.97,2018-09-06,,La Silla Observatory
HD 113337,b,HD 113337 b,Radial Velocity,0,1,324.00000000,0.920000,0.460000,,2.83000,Msini,,,0,0,0,0,13h01m46.93s,195.445526,+63d36m36.8s,63.610226,36.22,36.22,6.008,V (Johnson),5.901,6576.60,1.40,1.50,2014-05-14,-140.8000,Haute-Provence Observatory
HD 216770,b,HD 216770 b,Radial Velocity,0,1,118.45000000,0.460000,0.370000,,0.57000,Msini,,,0,0,0,0,22h55m53.71s,343.973785,-26d39m31.5s,-26.658764,36.70,36.70,8.094,V (Johnson),7.916,5399.00,0.74,0.93,2018-09-06,,La Silla Observatory
HD 42012,b,HD 42012 b,Radial Velocity,0,1,857.50000000,1.670000,0.200000,,1.60000,Msini,,,0,0,0,0,06h09m56.47s,92.485275,+34d08m07.1s,34.135300,36.84,36.84,8.440,V (Johnson),8.229,5405.00,0.83,0.82,2017-03-02,,Haute-Provence Observatory
HD 25015,b,HD 25015 b,Radial Velocity,0,1,6019.32000000,6.190000,0.390000,,4.48000,Msini,,,0,0,0,0,03h57m43.92s,59.432999,-20d16m04.1s,-20.267792,37.47,37.47,8.870,V (Johnson),8.599,5160.00,0.86,0.83,2019-04-11,77.7000,La Silla Observatory
HD 195019,b,HD 195019 b,Radial Velocity,0,1,18.20132000,0.140000,0.010000,,3.98000,Msini,,,0,0,0,0,20h28m18.63s,307.077637,+18d46m10.2s,18.769497,37.71,37.71,6.870,V (Johnson),6.729,5751.00,1.21,1.48,2018-09-06,,Lick Observatory
HD 63454,b,HD 63454 b,Radial Velocity,0,1,2.81805000,0.040000,0.000000,,0.25000,Msini,,,0,0,0,0,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,37.73,37.73,9.370,V (Johnson),9.054,4812.00,0.42,0.77,2018-09-06,,La Silla Observatory
HD 117618,b,HD 117618 b,Radial Velocity,0,1,25.80000000,0.180000,0.150000,,0.17400,Msini,,,0,0,0,1,13h32m25.55s,203.106476,-47d16m16.9s,-47.271362,37.82,37.82,7.169,V (Johnson),7.022,5990.00,1.08,,2019-03-14,289.0000,Anglo-Australian Telescope
HD 16141,b,HD 16141 b,Radial Velocity,0,1,75.52300000,0.360000,0.250000,,0.26000,Msini,,,0,0,0,0,02h35m19.93s,38.833035,-03d33m38.2s,-3.560602,37.83,37.83,6.830,V (Johnson),6.658,5757.00,1.11,1.48,2018-09-06,,W. M. Keck Observatory
HD 114729,b,HD 114729 b,Radial Velocity,0,1,1114.00000000,2.100000,0.170000,,1.09000,Msini,,,0,0,0,0,13h12m44.26s,198.184402,-31d52m24.1s,-31.873348,37.85,37.85,6.680,V (Johnson),6.514,5835.00,1.24,1.55,2018-09-06,,W. M. Keck Observatory
HD 8673,b,HD 8673 b,Radial Velocity,0,1,1634.00000000,3.020000,0.723000,,14.20000,Msini,,,0,0,0,0,01h26m08.78s,21.536604,+34d34m46.9s,34.579700,37.90,37.90,6.310,V (Johnson),6.219,6472.00,1.35,1.39,2019-01-31,323.4000,Thueringer Landessternwarte Tautenburg
HD 38283,b,HD 38283 b,Radial Velocity,0,1,363.20001000,1.020000,0.410000,,0.40000,Msini,,,0,0,0,0,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,38.10,38.10,6.696,V (Johnson),6.544,5981.00,1.37,1.49,2018-09-06,,Anglo-Australian Telescope
HD 32963,b,HD 32963 b,Radial Velocity,0,1,2372.00000000,3.410000,0.070000,,0.70000,Msini,,,0,0,0,0,05h07m55.76s,76.982353,+26d19m40.7s,26.327963,38.12,38.12,7.600,V (Johnson),7.428,5727.00,0.94,,2016-01-05,107.0000,W. M. Keck Observatory
HD 106252,b,HD 106252 b,Radial Velocity,0,1,1531.00000000,2.610000,0.480000,,6.93000,Msini,,,0,0,0,0,12h13m29.51s,183.372955,+10d02m29.9s,10.041638,38.23,38.23,7.408,V (Johnson),7.263,5874.00,1.01,1.10,2018-09-06,,Lick Observatory
gam 1 Leo,b,gam 1 Leo b,Radial Velocity,0,1,428.50000000,1.190000,0.144000,,8.78000,Msini,,,0,0,0,0,10h19m58.36s,154.993149,+19d50m29.4s,19.841488,38.52,,1.980,V (Johnson),,4330.00,1.23,31.88,2019-01-31,206.7000,Bohyunsan Optical Astronomical Observatory
HD 89744,b,HD 89744 b,Radial Velocity,0,1,256.78000000,0.917000,0.677000,,8.35000,Msini,,,0,0,0,0,10h22m10.56s,155.544006,+41d13m46.3s,41.229530,38.68,38.68,5.720,V (Johnson),5.586,6291.00,1.86,,2019-03-14,193.7000,Fred Lawrence Whipple Observatory
HD 7449,b,HD 7449 b,Radial Velocity,0,1,1255.50000000,2.380000,0.920000,,0.50800,Msini,,,0,0,0,0,01h14m29.32s,18.622173,-05d02m50.6s,-5.047387,38.71,38.71,7.483,V (Johnson),7.350,6024.00,1.05,,2019-03-14,69.9000,La Silla Observatory
